,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.9078916801312247,0.9499197060240174,-0.4651801494928459,0.8658570493317569,0.8682928890274915,0.8074973771412863,-0.775196686457917,0.9385691854667292,0.8808203733849247,0.9297805360557319,0.9067394875241633,0.9360191885660938,0.8518767113534926,0.8826424431405847,0.8938477320511924,0.9478536785771153,0.8209223318479234,0.8498907852458221,0.858041863559036,0.797749690979176,0.7898871631929021,0.5685589228764943,0.9358254863327671,-0.610850645715332,0.8185631327236902,0.8450550772025074,0.8277665796522373,0.46617505370119233,0.8970203257581985,0.9361150675250539,0.8151055728134946,-0.03884237575929214,0.8889299008586433,0.9349052292886602,0.8816551944110577,0.7887732186475872,0.8689981815944392,0.8275787625538612,0.9351299557120656,0.8772162249309869,0.7591272212179282,0.8579261777536902,0.8803648098999164,0.8016821234175019,0.9376605899159388,0.29688378082579125,0.8266755039238146,0.732625026442416,0.9372019817928023
ADANIPORTS,0.9078916801312247,1.0,0.9206890026227782,-0.5165915935806443,0.8304155888699934,0.841659762396995,0.8774672388581299,-0.8744303308789463,0.926095992206441,0.8610718215738892,0.905111920725632,0.8532751279307916,0.8840369217560999,0.8309943426783277,0.8274684234585772,0.9561933636566519,0.9060410044297561,0.928021913199904,0.7833657062009418,0.8302916073534756,0.7595498053176727,0.759993920003393,0.46449811565604676,0.9354401638483669,-0.6507299462914525,0.8867075870823568,0.9359588227509811,0.9192726917641176,0.4076417477307334,0.9504206290612086,0.9096026604607134,0.7511325012644339,-0.18427526032313746,0.8596919079623593,0.8937532321743744,0.8458103565617362,0.878756906244284,0.806277275631278,0.9175894449478275,0.911168932798248,0.8578486394771659,0.8650100663448669,0.9418871568664948,0.815022612342871,0.8913700122523622,0.9166448648069723,0.38112964465038873,0.9386238291076247,0.8071641537829496,0.9011437312114061
APOLLOHOSP,0.9499197060240174,0.9206890026227782,1.0,-0.4070384955577043,0.8937985427172923,0.9036973310054902,0.8199594623404587,-0.8191891510234535,0.9766987983282529,0.9254212505411894,0.9707482835542454,0.9466649269655514,0.9655766542779821,0.8723909665299014,0.910675257989872,0.9391844106777074,0.9861497163105644,0.8427595427716159,0.8565728756797704,0.8833469195726642,0.8288008565895718,0.821074067558705,0.6145449764382658,0.9368345510371634,-0.5910697518596619,0.8683936841598506,0.8594796792441162,0.8258659952814821,0.4770442976210526,0.8811666793637287,0.9731231548964332,0.8151600503956166,-0.025211006278982376,0.9230290207863671,0.9665526581246647,0.91864928729803,0.8107782391104243,0.8859605465679983,0.8276319429119107,0.9779899171446719,0.9244893023705258,0.7975586859479008,0.9062466719720446,0.894758186803841,0.8073506925798952,0.9804096673618149,0.3435747209813096,0.895264060818542,0.7722914992548925,0.9695510384710255
ASIANPAINT,-0.4651801494928459,-0.5165915935806443,-0.4070384955577043,1.0,-0.38494071782789635,-0.3946963949726396,-0.269062875687197,0.5588350109196142,-0.44710164872592334,-0.43216958683315,-0.3753073488512379,-0.2583471231808364,-0.3972644031904494,-0.3854220294901451,-0.3856997941481706,-0.4093695524917666,-0.3903599649915784,-0.6045533384514561,-0.4550410250520051,-0.3558015006518478,-0.3909933608027322,-0.36518637417275174,0.07933768108276563,-0.5925712761732941,0.797806122165778,-0.4751600999865108,-0.4428695863790108,-0.5583389759817495,0.0729440453027061,-0.567830412952089,-0.44903954010177527,-0.3417333768223853,0.4459395531899111,-0.40849594602034583,-0.3624432135756974,-0.4323414340044048,-0.3772898312796195,-0.32984363893267693,-0.6247016906660978,-0.377581437065817,-0.4202162195946147,-0.25141337714550566,-0.34243072534562796,-0.36694948971458463,-0.6361268845251264,-0.47097458403100906,0.2573798329661307,-0.36024977833592936,-0.39944139503877396,-0.49202482327660074
AXISBANK,0.8658570493317569,0.8304155888699934,0.8937985427172923,-0.38494071782789635,1.0,0.9160611891189614,0.7571485865919093,-0.740703827122032,0.8802170902288239,0.8495453078858952,0.8886716576789144,0.8577690819379563,0.8903387699926375,0.8173587900229635,0.8418154502957599,0.8409742345381737,0.9050819445700614,0.7742981138259273,0.9289924887390855,0.816849181645511,0.8758478299346095,0.8850950201894159,0.6031599903638541,0.8520074299309831,-0.5039520761856788,0.807681978665305,0.7752875932623265,0.8669473055368454,0.5217335123368917,0.7870060226109944,0.8852058726576187,0.7931940286054945,0.03550804754079536,0.8495460910839475,0.8989631225517417,0.8540774642249189,0.7688451055062464,0.9177109930221122,0.7578588893962631,0.9014423255653561,0.8455094139669905,0.7473281772607314,0.8395855984078203,0.8376428116600996,0.736788627399404,0.8984319770194069,0.3492458659012672,0.8087603402410477,0.8410231349902455,0.8778222484155738
BAJAJ-AUTO,0.8682928890274915,0.841659762396995,0.9036973310054902,-0.3946963949726396,0.9160611891189614,1.0,0.7431931090835164,-0.7469301680488872,0.9249779580472576,0.9086654888671055,0.9519286751344599,0.8993652919573266,0.9344451318315196,0.8938171766004296,0.8776939563932433,0.8198821145147549,0.9211622881846708,0.7953903432903778,0.8446141887123944,0.8260765119032553,0.9453911232691923,0.9220789818657148,0.684949771538943,0.8497379623133477,-0.47137558645218813,0.8101334839999971,0.7417228276549552,0.8419310191169251,0.5394904339506644,0.7434749553973417,0.9447727344244699,0.8664466058265315,0.17070294645045772,0.9087612473266802,0.942138050713304,0.9109519267909739,0.7526987328850224,0.9572964555851691,0.7577925332313669,0.94585727405335,0.9039321194352559,0.7761833453824789,0.8501857725576398,0.8711914908327357,0.7325089895555038,0.8917209130416548,0.3454501248301044,0.8826572415020855,0.8376915411092346,0.8645309454273243
BAJAJFINSV,0.8074973771412863,0.8774672388581299,0.8199594623404587,-0.269062875687197,0.7571485865919093,0.7431931090835164,1.0,-0.7254215917658061,0.7811319209490486,0.7443080256046549,0.799012247070335,0.8215844311250067,0.8172183883088447,0.7555637743901367,0.7759516539669851,0.8871639581753276,0.8179149168775591,0.8058801961890182,0.6673166325530747,0.792549787348385,0.6816250711483521,0.687165166014854,0.5630087491517429,0.7762631747364529,-0.44458392743555225,0.817230168636461,0.9039866595932622,0.8380133068814446,0.5030878676997952,0.8382191561141522,0.7827742539577358,0.748205782801513,0.0455438577622835,0.7624854855466225,0.8210185103212145,0.7440690303440475,0.8671744362190213,0.7788244932090544,0.7818984773365092,0.8167378254321459,0.7550911348620628,0.9275152135843304,0.9283663055080328,0.7789303721279569,0.7857064816330346,0.7847142979689695,0.6111417327106339,0.8202820271674919,0.7861278307018635,0.7669163029794425
BAJFINANCE,-0.775196686457917,-0.8744303308789463,-0.8191891510234535,0.5588350109196142,-0.740703827122032,-0.7469301680488872,-0.7254215917658061,1.0,-0.7951297573573678,-0.7781168523897771,-0.7933298396465479,-0.7592684879414154,-0.8003945640838009,-0.7528506767106983,-0.7709913071748727,-0.8490775415833502,-0.8005849177900285,-0.8689583958245417,-0.6881468119804398,-0.7459313735968767,-0.7038645776906441,-0.7061354761155898,-0.43175886642055666,-0.8324828036127357,0.6513875740088574,-0.8356422415774708,-0.8222413901789485,-0.8309892576991117,-0.33815979663035406,-0.832603746066318,-0.7929481578656191,-0.6900710803013458,0.18543979167248384,-0.7663657658263076,-0.7894496294800813,-0.7658474799770097,-0.8029960189394869,-0.7312404889964353,-0.8408809807209788,-0.796816745451573,-0.7815419399760882,-0.8048983086039976,-0.846996535095212,-0.7212729841149749,-0.8405031133911243,-0.8213143436542346,-0.2977802319297496,-0.7933301474458158,-0.7591617080170724,-0.7924592868273576
BEL,0.9385691854667292,0.926095992206441,0.9766987983282529,-0.44710164872592334,0.8802170902288239,0.9249779580472576,0.7811319209490486,-0.7951297573573678,1.0,0.9389396943630482,0.9767171211996923,0.9122632638089133,0.9495638330389342,0.869876293124829,0.8911107614825802,0.9262660972454573,0.9739228373460136,0.8485835975652887,0.8519605954041043,0.8587965642791577,0.8461610769523505,0.8331106370278633,0.5681015088642625,0.9312895334185656,-0.5870690044311858,0.8670461016853855,0.830625508745066,0.825337002987803,0.43882761307893015,0.8700941130377831,0.9920130554822676,0.7949131983028837,-0.04807425972647223,0.934341231073873,0.9590127822296006,0.9310773786964387,0.787198001680632,0.868637533550571,0.8388323131291168,0.9767108428388173,0.9315698392921175,0.7643050123203694,0.8870989143155379,0.8853954576876928,0.8037773535259363,0.97752993418329,0.2842944754384614,0.9303368598346394,0.7777434011610732,0.9686043107497558
BHARTIARTL,0.8808203733849247,0.8610718215738892,0.9254212505411894,-0.43216958683315,0.8495453078858952,0.9086654888671055,0.7443080256046549,-0.7781168523897771,0.9389396943630482,1.0,0.9477040175981954,0.8887741165192505,0.924586472411872,0.9437504584900486,0.9643852118992025,0.8520461093786584,0.9323466549731644,0.8944460374031926,0.7976826407723846,0.9359196634843597,0.9290761168241785,0.9229757324725053,0.6224409337054467,0.876929766961291,-0.6323535787931224,0.9234113809825621,0.7677965773178329,0.7752022505772747,0.5067098169704077,0.7813677342863068,0.9443848286615859,0.873117069960141,0.0458136717646205,0.9944480339486498,0.9320082839070326,0.9932692465178139,0.8614964367893609,0.8725221845680455,0.8807047713905992,0.9462045151259642,0.9967466597821975,0.7604920279324479,0.8531114892284885,0.9604110476028209,0.8528016576751017,0.9315569989202621,0.3029892098199498,0.8815634948346696,0.8566584901252124,0.9089651764078973
