Ticker,avg_cum_return,percentage_cum
TRENT,0.5578286601028339,55.78286601028339
M&M,0.32283310364686346,32.28331036468634
BAJAJ-AUTO,0.28229983653862595,28.229983653862593
BHARTIARTL,0.2775456965051357,27.754569650513574
ONGC,0.26793176520996637,26.793176520996635
BPCL,0.2639563308851272,26.39563308851272
BEL,0.26381688489965577,26.381688489965576
SHRIRAMFIN,0.256063407456622,25.606340745662198
SUNPHARMA,0.21305941456733588,21.30594145673359
POWERGRID,0.20576420379757,20.576420379757
ADANIPORTS,0.20368157514520693,20.368157514520693
SBIN,0.15807507408318913,15.807507408318914
CIPLA,0.14377586270206724,14.377586270206724
COALINDIA,0.14138440380048573,14.138440380048573
HEROMOTOCO,0.13845832307530098,13.845832307530099
TATAMOTORS,0.13421282221580813,13.421282221580814
MARUTI,0.1315829442357419,13.15829442357419
NTPC,0.11835487983299289,11.83548798329929
GRASIM,0.11176746085471347,11.176746085471347
ICICIBANK,0.11111843784716298,11.111843784716298
APOLLOHOSP,0.07703054848225248,7.703054848225248
RELIANCE,0.07200676936561236,7.200676936561236
EICHERMOT,0.07028445170619703,7.028445170619703
TATASTEEL,0.06899643863756459,6.899643863756459
SBILIFE,0.06781708543854523,6.781708543854522
TECHM,0.06621025245751931,6.621025245751931
DRREDDY,0.05860459520859703,5.8604595208597035
INFY,0.050797316505711204,5.07973165057112
HCLTECH,0.0388933112249632,3.88933112249632
TCS,0.03712263962446671,3.7122639624466713
AXISBANK,0.026299931337322502,2.62999313373225
WIPRO,0.015531336865055033,1.5531336865055032
ADANIENT,0.012337451227500634,1.2337451227500633
TATACONSUM,0.010523532858776273,1.0523532858776272
HINDALCO,-0.0023057347554020216,-0.23057347554020216
JSWSTEEL,-0.003780991203117153,-0.3780991203117153
HDFCLIFE,-0.00980051976744638,-0.980051976744638
LT,-0.012070433631830729,-1.2070433631830728
BRITANNIA,-0.01301302275371529,-1.301302275371529
BAJAJFINSV,-0.013868899619152521,-1.3868899619152522
ULTRACEMCO,-0.019011809630322597,-1.9011809630322598
ITC,-0.028840052499597067,-2.884005249959707
BAJFINANCE,-0.028900730897670243,-2.890073089767024
HINDUNILVR,-0.0457526461835667,-4.57526461835667
TITAN,-0.05082841609598072,-5.082841609598072
HDFCBANK,-0.07095646079602541,-7.095646079602541
KOTAKBANK,-0.07158940453121716,-7.1589404531217165
NESTLEIND,-0.09060028897076061,-9.06002889707606
INDUSINDBK,-0.09822209890036604,-9.822209890036603
ASIANPAINT,-0.11131839754247054,-11.131839754247054
